Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Balanced Accuracy
1,Logistic Regression,1.0,1.0,1.0,1.0,,1.0
2,KNN,1.0,1.0,1.0,1.0,,1.0
3,Random Forest,1.0,1.0,1.0,1.0,,1.0
4,LightGBM,1.0,1.0,1.0,1.0,,1.0
5,Extra Trees,1.0,1.0,1.0,1.0,,1.0
6,AdaBoost,1.0,1.0,1.0,1.0,,1.0
7,SVM,1.0,1.0,1.0,1.0,,1.0
8,CatBoost,1.0,1.0,1.0,1.0,,1.0
9,XGBoost,1.0,1.0,1.0,1.0,,1.0
10,Decision Tree,0.999,1.0,0.999,0.9995,,0.999
11,Gradient Boosting,0.993,1.0,0.993,0.9965,,0.993
