iter	Passed	Remaining
412	3333	4737
413	3339	4726
414	3345	4716
415	3352	4706
416	3359	4696
417	3367	4688
418	3373	4677
419	3380	4667
420	3386	4657
421	3393	4648
422	3400	4638
423	3407	4628
424	3414	4619
425	3420	4609
426	3427	4598
427	3433	4588
428	3440	4578
429	3446	4568
430	3452	4558
431	3459	4547
432	3465	4538
433	3472	4529
434	3479	4519
435	3486	4510
436	3492	4500
437	3499	4489
438	3505	4479
439	3512	4470
440	3518	4460
441	3524	4450
442	3531	4440
443	3538	4430
444	3546	4422
445	3553	4413
446	3559	4403
447	3565	4393
448	3572	4383
449	3578	4374
450	3586	4365
451	3592	4355
452	3599	4346
453	3606	4336
454	3612	4327
455	3618	4317
456	3661	4350
457	3670	4343
458	3679	4337
459	3689	4330
460	3705	4332
461	3714	4325
462	3722	4317
463	3739	4319
464	3748	4312
465	3756	4304
466	3764	4296
467	3792	4311
468	3799	4301
469	3805	4291
470	3819	4290
471	3827	4281
472	3836	4274
473	3843	4264
474	3849	4254
475	3855	4244
476	3862	4235
477	3869	4225
478	3875	4214
479	3883	4206
480	3889	4197
481	3896	4187
482	3902	4177
483	3909	4167
484	3915	4157
485	3922	4148
486	3929	4138
487	3935	4128
488	3941	4119
489	3948	4109
490	3954	4099
491	3961	4090
492	3968	4080
493	3974	4071
494	3981	4061
495	3988	4052
496	3994	4043
497	4001	4033
498	4007	4024
499	4014	4014
500	4021	4005
501	4027	3995
502	4034	3986
503	4041	3976
504	4047	3967
505	4053	3957
506	4060	3948
507	4067	3939
508	4074	3930
509	4081	3921
510	4087	3911
511	4094	3902
512	4101	3893
513	4110	3886
514	4116	3876
515	4122	3867
516	4129	3857
517	4136	3848
518	4143	3839
519	4149	3830
520	4156	3821
521	4163	3812
522	4170	3803
523	4176	3794
524	4183	3785
525	4189	3775
526	4197	3767
527	4203	3757
528	4209	3748
529	4216	3739
530	4222	3729
531	4229	3720
532	4235	3711
533	4242	3702
534	4249	3693
535	4255	3684
536	4262	3674
537	4268	3665
538	4274	3656
539	4281	3647
540	4287	3637
541	4294	3628
542	4300	3619
543	4307	3610
544	4314	3601
545	4320	3592
546	4327	3583
547	4334	3574
548	4340	3565
549	4349	3558
550	4355	3549
551	4364	3541
552	4371	3533
553	4378	3525
554	4385	3516
555	4393	3508
556	4400	3499
557	4407	3491
558	4416	3484
559	4424	3476
560	4431	3467
561	4437	3458
562	4444	3449
563	4451	3441
564	4459	3433
565	4467	3425
566	4475	3417
567	4482	3408
568	4493	3403
569	4500	3394
570	4508	3387
571	4515	3378
572	4523	3370
573	4529	3361
574	4536	3353
575	4544	3345
576	4550	3336
577	4557	3327
578	4564	3318
579	4570	3310
580	4578	3301
581	4586	3293
582	4593	3285
583	4600	3277
584	4607	3268
585	4614	3260
586	4621	3251
587	4628	3242
588	4635	3234
589	4641	3225
590	4650	3218
591	4658	3210
592	4667	3203
593	4673	3194
594	4681	3186
595	4688	3177
596	4695	3169
597	4701	3160
598	4707	3151
599	4716	3144
600	4723	3135
601	4730	3127
602	4737	3118
603	4744	3110
604	4750	3101
605	4756	3092
606	4763	3084
607	4769	3075
608	4776	3066
609	4783	3057
610	4789	3049
611	4796	3040
612	4803	3032
613	4809	3023
614	4815	3014
615	4821	3005
616	4827	2996
617	4834	2988
618	4840	2979
619	4847	2970
620	4853	2962
621	4859	2953
622	4865	2944
623	4872	2935
624	4878	2927
625	4884	2918
626	4891	2909
627	4898	2901
628	4904	2892
629	4911	2884
630	4918	2876
631	4924	2867
632	4931	2859
633	4938	2850
634	4945	2842
635	4950	2833
636	4957	2825
637	4965	2817
638	4972	2809
639	4979	2800
640	4985	2792
641	4992	2784
642	5002	2777
643	5008	2768
644	5017	2761
645	5024	2753
646	5034	2746
647	5041	2738
648	5050	2731
649	5056	2722
650	5064	2715
651	5071	2706
652	5078	2698
653	5085	2690
654	5093	2682
655	5099	2674
656	5107	2666
657	5114	2658
658	5120	2649
659	5127	2641
660	5134	2633
661	5140	2624
662	5146	2615
663	5153	2607
664	5162	2600
665	5170	2593
666	5178	2585
667	5184	2576
668	5192	2568
669	5198	2560
670	5205	2552
671	5211	2543
672	5218	2535
673	5226	2527
674	5232	2519
675	5240	2511
676	5247	2503
677	5255	2496
678	5261	2487
679	5269	2479
680	5275	2471
681	5282	2463
682	5289	2454
683	5296	2447
684	5304	2439
685	5312	2431
686	5320	2423
687	5326	2415
688	5334	2407
689	5340	2399
690	5348	2391
691	5355	2383
692	5361	2375
693	5368	2367
694	5375	2359
695	5383	2351
696	5390	2343
697	5396	2334
698	5403	2326
699	5410	2318
700	5417	2310
701	5423	2302
702	5431	2294
703	5438	2286
704	5446	2279
705	5452	2270
706	5459	2262
707	5466	2254
708	5472	2246
709	5479	2238
710	5486	2229
711	5493	2222
712	5499	2213
713	5506	2205
714	5512	2197
715	5518	2189
716	5525	2181
717	5532	2172
718	5538	2164
719	5545	2156
720	5551	2148
721	5558	2140
722	5565	2132
723	5573	2124
724	5579	2116
725	5587	2108
726	5594	2100
727	5601	2092
728	5608	2084
729	5615	2076
730	5621	2068
731	5628	2060
732	5635	2052
733	5641	2044
734	5648	2036
735	5655	2028
736	5661	2020
737	5668	2012
738	5675	2004
739	5683	1996
740	5689	1988
741	5696	1980
742	5703	1972
743	5710	1965
744	5718	1957
745	5724	1949
746	5731	1941
747	5738	1933
748	5745	1925
749	5752	1917
750	5758	1909
751	5766	1901
752	5772	1893
753	5779	1885
754	5786	1877
755	5792	1869
756	5799	1861
757	5806	1853
758	5813	1845
759	5819	1837
760	5826	1829
761	5833	1822
762	5841	1814
763	5847	1806
764	5854	1798
765	5862	1790
766	5869	1783
767	5877	1775
768	5883	1767
769	5890	1759
770	5897	1751
771	5904	1743
772	5910	1735
773	5917	1727
774	5924	1720
775	5931	1712
776	5938	1704
777	5945	1696
778	5952	1688
779	5960	1681
780	5968	1673
781	5977	1666
782	5984	1658
783	5993	1651
784	6001	1643
785	6008	1635
786	6015	1628
787	6023	1620
788	6030	1612
789	6040	1605
790	6046	1597
791	6054	1590
792	6060	1582
793	6067	1574
794	6074	1566
795	6082	1558
796	6088	1550
797	6095	1542
798	6101	1535
799	6109	1527
800	6115	1519
801	6122	1511
802	6130	1503
803	6136	1495
804	6143	1488
805	6149	1480
806	6156	1472
807	6163	1464
808	6170	1456
809	6177	1449
810	6184	1441
811	6191	1433
812	6198	1425
813	6205	1417
814	6213	1410
815	6220	1402
816	6227	1394
817	6234	1387
818	6241	1379
819	6248	1371
820	6255	1363
821	6261	1355
822	6268	1348
823	6274	1340
824	6280	1332
825	6287	1324
826	6295	1316
827	6301	1308
828	6307	1301
829	6313	1293
830	6320	1285
831	6326	1277
832	6332	1269
833	6339	1261
834	6345	1253
835	6352	1246
836	6358	1238
837	6365	1230
838	6371	1222
839	6377	1214
840	6383	1206
841	6390	1199
842	6396	1191
843	6403	1183
844	6409	1175
845	6415	1167
846	6421	1159
847	6428	1152
848	6434	1144
849	6440	1136
850	6446	1128
851	6453	1120
852	6460	1113
853	6467	1105
854	6474	1097
855	6481	1090
856	6487	1082
857	6494	1074
858	6500	1067
859	6507	1059
860	6513	1051
861	6520	1043
862	6527	1036
863	6533	1028
864	6540	1020
865	6549	1013
866	6555	1005
867	6563	998
868	6570	990
869	6577	982
870	6584	975
871	6591	967
872	6599	960
873	6607	952
874	6614	944
875	6620	937
876	6630	929
877	6638	922
878	6645	914
879	6652	907
880	6660	899
881	6667	892
882	6675	884
883	6682	876
884	6689	869
885	6696	861
886	6703	854
887	6710	846
888	6717	838
889	6723	831
890	6730	823
891	6737	815
892	6745	808
893	6751	800
894	6758	792
895	6765	785
896	6771	777
897	6778	769
898	6785	762
899	6791	754
900	6798	747
901	6805	739
902	6812	731
903	6818	724
904	6824	716
905	6831	708
906	6838	701
907	6844	693
908	6851	685
909	6857	678
910	6864	670
911	6871	663
912	6878	655
913	6884	647
914	6891	640
915	6898	632
916	6905	624
917	6911	617
918	6918	609
919	6925	602
920	6931	594
921	6938	586
922	6947	579
923	6953	571
924	6961	564
925	6968	556
926	6976	549
927	6982	541
928	6991	534
929	6998	526
930	7005	519
931	7012	511
932	7019	504
933	7026	496
934	7033	488
935	7040	481
936	7046	473
937	7053	466
938	7060	458
939	7067	451
940	7074	443
941	7081	435
942	7091	428
943	7097	421
944	7105	413
945	7111	405
946	7118	398
947	7125	390
948	7132	383
949	7138	375
950	7145	368
951	7151	360
952	7158	353
953	7165	345
954	7171	337
955	7179	330
956	7185	322
957	7192	315
958	7199	307
959	7207	300
960	7215	292
961	7222	285
962	7229	277
963	7235	270
964	7242	262
965	7249	255
966	7256	247
967	7264	240
968	7271	232
969	7278	225
970	7285	217
971	7291	210
972	7298	202
973	7305	195
974	7312	187
975	7319	179
976	7327	172
977	7334	164
978	7341	157
979	7348	149
980	7355	142
981	7362	134
982	7370	127
983	7377	119
984	7383	112
985	7391	104
986	7398	97
987	7405	89
988	7411	82
989	7418	74
990	7424	67
991	7431	59
992	7438	52
993	7445	44
994	7452	37
995	7459	29
996	7467	22
997	7473	14
998	7479	7
999	7486	0
