iter	Logloss
0	0.6426213989
1	0.5915986328
2	0.5465720215
3	0.5030874023
4	0.4680864258
5	0.4306868896
6	0.3955065308
7	0.3662225037
8	0.3402745361
9	0.3126490479
10	0.287957428
11	0.2644893494
12	0.2462566986
13	0.2283925323
14	0.212534256
15	0.1971802826
16	0.1816195221
17	0.1684119415
18	0.157226181
19	0.1467684784
20	0.1367207184
21	0.1275924835
22	0.119617424
23	0.1122175369
24	0.1052955246
25	0.09948672485
26	0.0934129715
27	0.08779954529
28	0.08307899475
29	0.07864271545
30	0.0742796936
31	0.06989338684
32	0.06624180603
33	0.06241162872
34	0.05910129547
35	0.05632272339
36	0.05386130524
37	0.0515357666
38	0.04907746887
39	0.04671114349
40	0.04443179321
41	0.04211611938
42	0.0406108551
43	0.0389025383
44	0.03707391357
45	0.03541230392
46	0.03408714676
47	0.0329332962
48	0.03163526154
49	0.03035985947
50	0.02916531944
51	0.02821018791
52	0.02715106201
53	0.02602652931
54	0.02504214478
55	0.02415128708
56	0.0233293705
57	0.02253985786
58	0.02180746078
59	0.02108714104
60	0.02052101326
61	0.01997651672
62	0.01924619293
63	0.01871433067
64	0.01818751907
65	0.01767411041
66	0.01711878395
67	0.01657762909
68	0.01603839684
69	0.01567298222
70	0.0152920723
71	0.01493725204
72	0.01459852982
73	0.01425119209
74	0.01392999744
75	0.01362337971
76	0.01327957535
77	0.01299083138
78	0.01269908333
79	0.01237174416
80	0.01201489067
81	0.01176930618
82	0.0114824028
83	0.01125205421
84	0.01104376411
85	0.01080768394
86	0.01059704018
87	0.0103765974
88	0.01018847466
89	0.009989631653
90	0.009818350792
91	0.009614562988
92	0.009418219566
93	0.009226039886
94	0.009034615517
95	0.008865499496
96	0.008723716736
97	0.008579792976
98	0.008377296448
99	0.008253650665
100	0.008114075661
101	0.007935094833
102	0.007800639629
103	0.007672986031
104	0.007523127556
105	0.007424729824
106	0.007300065994
107	0.007189743996
108	0.007086313248
109	0.006952009201
110	0.006823986053
111	0.006733148575
112	0.006615358353
113	0.006517343521
114	0.006438836098
115	0.006343483448
116	0.00624281311
117	0.006147837162
118	0.006057188034
119	0.005971941948
120	0.005888795376
121	0.005812747002
122	0.005709651947
123	0.00562015152
124	0.005551125526
125	0.005470775604
126	0.005399461746
127	0.005325742245
128	0.005255587101
129	0.005191771984
130	0.00512315464
131	0.005058170319
132	0.004995822906
133	0.004938879013
134	0.004868270874
135	0.004806983948
136	0.004749123573
137	0.004680900097
138	0.004612410545
139	0.00455496645
140	0.004498589516
141	0.004454111576
142	0.004396410942
143	0.004340215683
144	0.004289647102
145	0.004257710457
146	0.004187957287
147	0.004153040886
148	0.00411000061
149	0.004065135002
150	0.004017971039
151	0.00396061945
152	0.003920440674
153	0.003876636028
154	0.00384020853
155	0.003814443827
156	0.003785140038
157	0.003754016876
158	0.003717808962
159	0.00366638422
160	0.003634686708
161	0.003597486973
162	0.0035675385
163	0.003539783001
164	0.003507902145
165	0.003476360321
166	0.003428105831
167	0.003395325184
168	0.003362802982
169	0.003339021206
170	0.003309748173
171	0.003281173468
172	0.003249017239
173	0.003229914665
174	0.003197714329
175	0.003179517031
176	0.003156693935
177	0.003133519888
178	0.003106211185
179	0.003073982954
180	0.003042774677
181	0.003007926464
182	0.00297697258
183	0.002952581882
184	0.002924453259
185	0.002901469707
186	0.002876042366
187	0.00284500742
188	0.002817839622
189	0.002791370153
190	0.002765028477
191	0.002743200302
192	0.002718839407
193	0.002693870068
194	0.002671720505
195	0.002648966551
196	0.002627622128
197	0.002605969667
198	0.00258148551
199	0.002565268517
200	0.00254147625
201	0.00251689887
202	0.002503845453
203	0.002480127335
204	0.00246019268
205	0.002441249609
206	0.002422355175
207	0.002401567459
208	0.002383057594
209	0.002365437031
210	0.002348792553
211	0.002331717968
212	0.00231277132
213	0.002293190479
214	0.002276169062
215	0.002262544394
216	0.002250921965
217	0.002229771614
218	0.002215002537
219	0.002198533058
220	0.002181602001
221	0.00216714859
222	0.002148254871
223	0.002133888006
224	0.002121407032
225	0.002106349707
226	0.002087791443
227	0.002073350906
228	0.002055996418
229	0.002036446095
230	0.002025607586
231	0.002007612705
232	0.001991603374
233	0.001979162693
234	0.001966650963
235	0.001955309629
236	0.001945731997
237	0.001932780147
238	0.001921450853
239	0.001906978607
240	0.001893567085
241	0.001880066633
242	0.001868014097
243	0.001856932044
244	0.001843418121
245	0.001832107306
246	0.001818486333
247	0.001807956934
248	0.001794687986
249	0.001782090425
250	0.001775223732
251	0.001763521791
252	0.001760327339
253	0.001754067421
254	0.001741097212
255	0.001735336542
256	0.001723107219
257	0.001723064423
258	0.001709949613
259	0.001698989272
260	0.001687414885
261	0.001678231239
262	0.001666336536
263	0.00166632998
264	0.001652938008
265	0.001652953267
266	0.00164308691
267	0.001633253098
268	0.001633249044
269	0.001633249044
270	0.001621181488
271	0.00161037159
272	0.001600864291
273	0.001600853801
274	0.001591695786
275	0.001591695786
276	0.001582548141
277	0.001582518816
278	0.001573101282
279	0.001563795328
280	0.001554320216
281	0.001545488477
282	0.00154546833
283	0.001545444489
284	0.001535155892
285	0.001535154343
286	0.001535132647
287	0.001527861595
288	0.001518698931
289	0.001518698931
290	0.001507390261
291	0.00150739193
292	0.001507373452
293	0.001507392049
294	0.001507392049
295	0.001499444723
296	0.001491012096
297	0.001490989923
298	0.001483657122
299	0.001483657122
300	0.001472787619
301	0.001472805977
302	0.001472764492
303	0.001472749472
304	0.001472756386
305	0.00147273612
306	0.00147273612
307	0.00147273612
308	0.001464650154
309	0.001464657307
310	0.001455296993
311	0.001455309629
312	0.001455299139
313	0.001445014238
314	0.001445008993
315	0.001445009589
316	0.00144499588
317	0.00144499588
318	0.001434206963
319	0.001427121162
320	0.001427097201
321	0.00142107439
322	0.001421066523
323	0.00142106998
324	0.00142106998
325	0.001421064854
326	0.001413190603
327	0.001405871749
328	0.001405854344
329	0.001398112416
330	0.001398112416
331	0.001398112416
332	0.001398112416
333	0.001398091555
334	0.001398091555
335	0.00139811182
336	0.00139811182
337	0.00139811182
338	0.001398088336
339	0.001398094893
340	0.001392050028
341	0.001392049789
342	0.001392057061
343	0.001384879708
